"indicator_id","indicator_name"
"DP.DOD.DLCD.CR.L1.FC.Z1","Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLCD.CR.L1.GG.Z1","Gross PSD, General Gov., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLCD.CR.L1.NF.Z1","Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLCD.CR.M1.BC.Z1","Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLCD.CR.M1.CG.Z1","Gross PSD, Central Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLCD.CR.M1.FC.Z1","Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLCD.CR.M1.GG.Z1","Gross PSD, General Gov., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLCD.CR.M1.NF.Z1","Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLCD.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLD1.CR.CG.Z1","Gross PSD, Central Gov.-D1, All maturities, Debt securities + loans, Nominal Value, % of GDP"
"DP.DOD.DLD1.CR.GG.Z1","Gross PSD, General Gov.-D1, All maturities, Debt securities + loans, Nominal Value, % of GDP"
"DP.DOD.DLD2.CR.CG.Z1","Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLD2.CR.GG.Z1","Gross PSD, General Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, % of GDP"
"DP.DOD.DLD2A.CR.CG.Z1","Gross PSD, Central Gov.-D2A, All maturities, D1+ currency and deposits, Maastricht debt, % of GDP"
"DP.DOD.DLD2A.CR.GG.Z1","Gross PSD, General Gov.-D2A, All maturities, D1+ currency and deposits, Maastricht debt, % of GDP"
"DP.DOD.DLD3.CR.CG.Z1","Gross PSD, Central Gov.-D3, All maturities, D2+other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLD3.CR.GG.Z1","Gross PSD, General Gov.-D3, All maturities, D2+other accounts payable, Nominal Value, % of GDP"
"DP.DOD.DLD4.CR.CG.Z1","Gross PSD, Central Gov.-D4, All maturities, D3+insurance, pensions, and standardized guarantees, Nominal Value, % of GDP"
"DP.DOD.DLD4.CR.GG.Z1","Gross PSD, General Gov.-D4, All maturities, D3+insurance, pensions, and standardized guarantees, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.BC.Z1","Gross PSD, Budgetary Central Gov., All maturities, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.CG.Z1","Gross PSD, Central Gov., All maturities, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.FC.Z1","Gross PSD, Financial Public Corp., All maturities, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.GG.Z1","Gross PSD, General Gov., All maturities, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.L1.BC.Z1","Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.L1.CG.Z1","Gross PSD, Central Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.L1.FC.Z1","Gross PSD, Financial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.L1.GG.Z1","Gross PSD, General Gov., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.L1.NF.Z1","Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.M1.BC.Z1","Gross PSD, Budgetary Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.M1.CG.Z1","Gross PSD, Central Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.M1.FC.Z1","Gross PSD, Financial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.M1.GG.Z1","Gross PSD, General Gov., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.M1.NF.Z1","Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLDS.CR.MV.BC.Z1","Gross PSD, Budgetary Central Gov., All maturities, Debt Securities, Market value, % of GDP"
"DP.DOD.DLDS.CR.MV.CG.Z1","Gross PSD, Central Gov., All maturities, Debt Securities, Market value, % of GDP"
"DP.DOD.DLDS.CR.MV.FC.Z1","Gross PSD, Financial Public Corp., All maturities, Debt Securities, Market value, % of GDP"
"DP.DOD.DLDS.CR.MV.GG.Z1","Gross PSD, General Gov., All maturities, Debt Securities, Market value, % of GDP"
"DP.DOD.DLDS.CR.MV.NF.Z1","Gross PSD, Nonfinancial Public Corp., All maturities, Debt Securities, Market value, % of GDP"
"DP.DOD.DLDS.CR.NF.Z1","Gross PSD, Nonfinancial Public Corp., All maturities, Debt securities, Nominal Value, % of GDP"
"DP.DOD.DLIN.CR.BC.Z1","Gross PSD, Budgetary Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DLIN.CR.CG.Z1","Gross PSD, Central Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DLIN.CR.FC.Z1","Gross PSD, Financial Public Corp., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
"DP.DOD.DLIN.CR.GG.Z1","Gross PSD, General Gov., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, % of GDP"
