"flow_id","code","code_name"
"IRFCL","IRFCLDT2_IRFCL45_SUTM_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, Up to 1 month"
"IRFCL","IRFCLDT2_IRFCL45_SUTM_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, Up to 1 month"
"IRFCL","IRFCLDT2_IRFCL46_SM1MUT3M_FO_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts payable, More than 1 and up to 3 months, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL46_SM1MUT3M_FO_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts payable, More than 1 and up to 3 months, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL46_SM1MUT3M_FO_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts payable, More than 1 and up to 3 months, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL46_SM3MUTY_FO_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts payable, More than 3 months and up to 1 year, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL46_SM3MUTY_FO_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts payable, More than 3 months and up to 1 year, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL46_SM3MUTY_FO_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts payable, More than 3 months and up to 1 year, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL46_SUTM_FO_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts payable, Up to 1 month, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL46_SUTM_FO_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts payable, Up to 1 month, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL46_SUTM_FO_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts payable, Up to 1 month, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL46T_FO_EUR","Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets, other accounts payable, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL46T_FO_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets, other accounts payable, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL46T_FO_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Total other predetermined short term net drains on foreign currency assets, other accounts payable, Outflows (reserves template)"
"IRFCL","IRFCLDT2_IRFCL47_SM1MUT3M_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts receivable, More than 1 and up to 3 months"
"IRFCL","IRFCLDT2_IRFCL47_SM1MUT3M_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts receivable, More than 1 and up to 3 months"
"IRFCL","IRFCLDT2_IRFCL47_SM3MUTY_IN_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts receivable, More than 3 months and up to 1 year, Inflows"
"IRFCL","IRFCLDT2_IRFCL47_SM3MUTY_IN_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts receivable, More than 3 months and up to 1 year, Inflows"
"IRFCL","IRFCLDT2_IRFCL47_SUTM_IN_USD","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts receivable, Up to 1 month, Inflows"
"IRFCL","IRFCLDT2_IRFCL47_SUTM_IN_XDC","Predetermined short-term net drains on foreign currency assets (nominal value), Other predetermined short term net drains on foreign currency assets, other accounts receivable, Up to 1 month, Inflows"
